dissemenation barrier
2  1.221000
3  2.005000
4  1.532000
5  1.692000
6  4.352000
7  1.822000
8  1.821000
9  8.185000
10 1.962000
11 2.347000
12 13.636000
mcs tree
2  1.362000
3  1.806000
4  1.946000
5  1.684000
6  1.903000
7  5.774000
8  1.854000
9  2.006000
10 2.082000
11 2.105000
12 13.365000



dissemenation barrier
2  1.204000
3  1.811000
4  1.721000
5  1.679000
6  1.716000
7  1.805000
8  1.815000
9  2.122000
10 9.844000
11 2.095000
12 2.135000
mcs tree
2  1.318000
3  1.782000
4  1.756000
5  1.452000
6  1.919000
7  1.834000
8  1.844000
9  6.855000
10 2.067000
11 2.246000
12 2.190000
